rm		97
rn		94
rp		38
rr		34
rs		111
rt		46
rw		92
rx		102
sb		243
sc		22
sd		157
se		67
sf		58
sg		133
pi		35
sh		154
sj		59
sk		71
sm		59
so		24
sq		144
ss		15
st		84
sv		24
sw		170
sx		56
sy		139
sz		103
ta		27
tb		253
tc		50
td		51
te		136
tf		266
tg		82
th		148
ti		239
tj		260
tm		94
tn		73
to		57
tp		181
tt		187
tu		56
tv		74
tw		54
tw		37
tx		28
ty		170
ub		106
uc		123
ud		85
ue		20
uf		73
ug		59
ui		191
uj		95
uk		23
ul		102
ul		89
um		37
un		85
uo		218
up		19
uq		26
ur		30
us		67
ut		231
uu		55
ux		193
uz		80
va		87
vb		93
vd		77
vf		162
vg		53
vh		187
vi		73
vj		180
vk		145
vl		93
vn		189
vo		12
vp		96
vq		51
vr		37
vt		51
vt		51
vx		197
vx		85
vz		78
wa		156
wc		95
wd		17
tv		10
we		127
wf		11
wg		173
wh		48
wk		45
wl		126
wm		163
wn		44
wo		65
wq		288
wr		53
ws		95
wt		239
wu		77
wv		73
ww		12
wy		80
wz		137
xa		94
xb		94
xc		158
xf		23
xh		233
xi		55
xi		55
xj		33
xk		96
xl		249
tb		56
xn		123
xo		17
xp		36
xq		186
xr		21
xt		200
wg		29
xu		91
xv		164
xx		82
xy		97
xy		18
ya		85
yb		91
yc		121
ye		46
yg		61
yh		73
yi		34
yj		89
yk		56
ym		92
xk		67
xn		57
yo		88
yp		190
yp		29
yq		128
xq		49
xb		44
yr		69
ys		141
yt		34
yu		75
yv		126
wz		85
yg		61
yr		69
yv		48
yy		63
yz		65
za		47
zb		65
yj		89
zb		65
zd		17
ze		37
zf		71
zg		62
ya		85
zg		62
zh		95
zi		45
vj		96
xq		24
zk		171
xl		80
xo		17
zk		50
zf		29
zl		29
zn		71
zo		73
yp		73
zo		73
yp		29
yv		88
yv		48
zo		14
yp		44
zo		14
zp		14
wa		36
xf		23
yc		24
ys		54
zp		14
wa		36
xf		23
yc		24
ys		54
zr		80
zs		80
zs		80
zt		11
yt		34
zk		18
zt		11
yv		38
wz		85
yg		61
yr		69
wg		51
wm		73
wq		110
ws		22
wz		85
xh		148
xl		46
xt		83
xv		46
xx		82
yg		61
yi		11
yk		33
yr		69
yt		34
yv		38
wz		85
yg		61
yr		69
zk		18
zl		29
zt		11
yt		34
zk		18
zt		11
yv		38
wz		85
yg		61
yr		69
zu		25
wt		95
wt		95
tv		10
wy		80
xl		46
tb		56
ya		85
zg		62
ya		85
zg		62
wq		14
wr		53
xb		50
xn		66
xy		79
yb		91
yj		89
ym		21
yp		44
yv		88
yv		48
zb		65
yj		89
zb		65
zo		14
yp		44
zo		14
yv		88
yv		48
zo		14
yp		44
zo		14
ya		85
yb		91
yj		89
ym		21
yp		44
yq		87
xq		49
xb		44
yv		88
yv		48
zb		65
yj		89
zb		65
zg		62
ya		85
zg		62
zo		14
yp		44
zo		14
yv		88
yv		48
zo		14
yp		44
zo		14
zu		25
wt		95
wt		95
tv		10
wy		80
xl		46
tb		56
ya		85
zg		62
ya		85
zg		62
wq		14
wr		53
xb		50
xn		66
xy		79
yb		91
yj		89
ym		21
yp		44
yv		88
yv		48
zb		65
yj		89
zb		65
zo		14
yp		44
zo		14
yv		88
yv		48
zo		14
yp		44
zo		14
zv		157
zk		27
zv		61
zk		27
yp		29
zo		59
yp		29
zw		79
zw		79
wt		58
yi		23
zf		42
zn		11
zw		79
zw		79
zx		81
zx		81
zx		81
zd		17
zh		95
zs		80
zs		80
za		47
zd		17
zh		95
zi		45
vj		96
xq		24
zs		80
zs		80
zx		81
zx		81
zx		81
zd		17
zh		95
zs		80
zs		80
zy		15
wh		48
zy		15
wh		48
zk		76
zn		60
zy		15
wh		48
zy		15
wh		48
ye		46
yh		73
yy		63
yz		65
ze		37
zf		29
zk		126
xl		80
xo		17
zk		50
zf		29
zn		60
zy		15
wh		48
zy		15
wh		48
zk		76
zn		60
zy		15
wh		48
zy		15
wh		48
vt		51
vt		51
wa		59
wg		56
wk		45
wl		37
wm		90
wn		44
wo		65
wq		77
ws		59
xa		94
xj		33
xl		77
xp		23
xq		24
xr		21
xt		117
wg		29
xv		64
yc		97
yk		23
ym		18
yo		88
yp		146
yp		29
yq		41
ys		87
yu		75
za		47
zd		17
zh		95
zi		45
vj		96
xq		24
zk		27
zo		59
yp		29
zo		59
yp		29
zs		80
zs		80
zv		61
zk		27
zv		61
zk		27
yp		29
zo		59
yp		29
zx		81
zx		81
zx		81
zd		17
zh		95
zs		80
zs		80
za		47
zd		17
zh		95
zi		45
vj		96
xq		24
zs		80
zs		80
zx		81
zx		81
zx		81
zd		17
zh		95
zs		80
zs		80
yi		23
yk		23
ym		18
yo		88
yp		146
yp		29
yq		41
ys		87
yu		75
yy		63
yz		65
za		47
zd		17
ze		37
zf		71
zh		95
zi		45
vj		96
xq		24
zk		153
xl		80
xo		17
zk		50
zf		29
zn		71
zo		59
yp		29
zo		59
yp		29
zr		80
zs		80
zs		80
zv		157
zk		27
zv		61
zk		27
yp		29
zo		59
yp		29
zw		79
zw		79
wt		58
yi		23
zf		42
zn		11
zw		79
zw		79
zx		81
zx		81
zx		81
zd		17
zh		95
zs		80
zs		80
za		47
zd		17
zh		95
zi		45
vj		96
xq		24
zs		80
zs		80
zx		81
zx		81
zx		81
zd		17
zh		95
zs		80
zs		80
zy		15
wh		48
zy		15
wh		48
zk		76
zn		60
zy		15
wh		48
zy		15
wh		48
ye		46
yh		73
yy		63
yz		65
ze		37
zf		29
zk		126
xl		80
xo		17
zk		50
zf		29
zn		60
zy		15
wh		48
zy		15
wh		48
zk		76
zn		60
zy		15
wh		48
zy		15
wh		48
vt		51
vt		51
wa		59
wg		56
wk		45
wl		37
wm		90
wn		44
wo		65
wq		77
ws		59
xa		94
xj		33
xl		77
xp		23
xq		24
xr		21
xt		117
wg		29
xv		64
yc		97
yk		23
ym		18
yo		88
yp		146
yp		29
yq		41
ys		87
yu		75
za		47
zd		17
zh		95
zi		45
vj		96
xq		24
zk		27
zo		59
yp		29
zo		59
yp		29
zs		80
zs		80
zv		61
zk		27
zv		61
zk		27
yp		29
zo		59
yp		29
zx		81
zx		81
zx		81
zd		17
zh		95
zs		80
zs		80
za		47
zd		17
zh		95
zi		45
vj		96
xq		24
zs		80
zs		80
zx		81
zx		81
zx		81
zd		17
zh		95
zs		80
zs		80
